,comments,ratings
300,"Already by part 2 i started to recognize different behavior compared to some years ago edge 5 years ago i lost weight by looking into small steps in begin last months i did not reduce since i kept thinking about my main target Today i changed my mind and immediately i went outside for a walk of 1,5 hour ",5
301,excellent explanation of the the concepts ,5
302,I totally enjoyed the course I would have preferred less depth in the workings of the amygdala and as by now I have less focus on reframing ,4
303,Concise and easy to understand ,5
304,GOOD ,4.5
305,SO awesome You must take this class ,5
306,Very helpful Thank you ,5
307,Nice and interesting course however I found it hard to transfer the knowledge into real life application ,4.5
308,clear and to the point inspiring ,3.5
309,Excellent course content and instructor The delivery was very effective and has so much relevance to daily life I have applied reframing to real-life scenarios I have faced and it has helped me enormously ,5
310,well presented Could have been better if the presenter is also seen on the screen ,5
311,great for opening your mind to how you can change you have the power ,5
312,I gathered a lots of valuable information from this course ,4
313,in my opinion this course has a really high value and can improve your emotional intelligence ,5
314,Course very well directed and excellently presented I woke up the curiosity to continue deepening in this field so interesting thank you so much ,5
315,Well explained and very engaging ,5
316,It is amazing to be viewing an educational lecture on my phone anywhere anytime I choose ,5
317,Very pleasant instructor The course introduces the student to basics and must have's of reframing and effective thought process in human beings Informative and fun course ,5
318,relevant content clear communication link to real life and exercises all good so far i I continue enjoying the course and learning lots of interesting information and inspiring i ,5
319,While I plan to come back to write a detailed review the enemy rating system is terrible from a mobile phone I want to share now that this class has the potential to change your life if you allow it The information is fresh and delivered easily My intentions are to share it with anyone who will listen as i find it highly valuable Time well spent learning not only how to reframe but why to reframe excellent ,5
320,The course encouraged me to examine my behavior and the behavior of others and to practice the art of gaining other perspectives on life I will not look at events and people the same way again.... ,4
321,The course was very informative and teaches one to cope up with everyday living ,4
322,I would like this course.Thanks a lot ,5
323,Very clearly explained beautiful voice and goes in depth ,4
324,porque es clara y al punto ,5
325,It's great information but would like to know how to apply it with techniques and excercises ,3
326,very informative insightful & useful in every aspect of a person's life I've changed myself & influenced my relationships with this course I think maybe one or two more exercises in the beginning of the course might help along overall this course was fantastic ,5
327,It gives a very good insight to how our brain Works when it comes to danger learning ,5
328,She's boring as hell But she's probably much better when she's using her native tongue ,1
329,fascinating ,5
330,I love this course It is so well done easy to follow and to understand Great job ,5
331,It is an interesting course ,4
332,New information presented in an easy to understand way applicable and conducive of reflection and learning ,5
333,Myself and especially my 13 year old diagnosed with ADHD & ODD can benefit from reflecting on this information Eagerly moving forward thanks ,5
334,Very knowledgable instructor and great information ,5
335,I thoroughly enjoy how well prepared the course is and how clearly presented You are an excellent teacher ,5
336,She is a great speaker and is concise with the information ,5
337,So far the course seems great I've already learned things about the relationship between how I feel/think and what is physically causing that in my brain I like the idea that this course helps pull back the veil so to speak of how certain situations can make us feel and by exposing that help us hack our own behaviours for better results ,4.5
338,relevant stuff ,5
339,Really comprehensive easy to follow and digest ,4.5
340,I appreciate her voice it's very soothing and I'm learning a lot I'm a Hypnotherapist and completely feel like just layering information about the Amygdala has been so important and will help me in explaining more to my clients Thanks for the info so far One section done I can see myself going through the course again as a refresher ,5
341,Nicely done ,5
342,its very good and interesting but the instructor is a little bit mono tone ,4
343,excellent ,5
344,In-depth Coverage of Reframing the brain ,3.5
345,Very good course ! must try ,5
346,It is a basic course which is why its free....or a free gift but still basic in nature The presentation is good and methodical It was worth listening to and the only reason for the rating is basic info ,2.5
347,god ,5
348,very clear and amazing fact about our mind ,5
349,I find it very interesting It sounds a bit like nap and cut though I realize the nap doesn't have the science this has thanks ,5
350,personally I enjoy each and every course I've taken on here so far purely because they make me think and analyze my own framing ,5
351,wow Real substance No fluffy thanks Neville ,5
352,Good information the instructor was easy to understand ,5
353,I have been interested in the topic of reframing the brain for quite some time Taking this free course gave me more insight to what I'm already doing in my life I will continue taking courses free or paid I will also recommend this and other courses as they become available Season greetings Yvonne De Bose ,5
354,For a free course on a vital subject this course does a good job of covering enough ground All the information is nicely structured and easy to understand This is a great way to introduce people to how their brain works on a daily basis without overwhelming people with dense information Will be sure to recommend to many people ,5
355,The material is super interesting but it is well presented which has allowed me to absorb alot of the info ,5
356,great info could be a bit more condensed ,3.5
357,Interesting info ,4
358,Very well presented she speaks clearly and most of all it is very informative ,5
359,Wrestling against the challenges of daily life Would you like to rewrite your past experiences and beliefs into something that inspires you to move forward with success Reframing is way of changing your point of view so that what used to bother or degrade the quality of your life takes on a different meaning Obstacles become opportunities and emotionally draining situations no longer take your energy but inspire you to meet the challenge and succeed in life It isn't a pep talk or a motivational speech It is a presentation of thoughtful scientific research made accessible to changing your daily life with relevant examples and methods that you can put to use today I've signed up for the next course master Your Mindset & brain Framestorm Your Way To success Take this course and change your life ,5
360,great information ,5
361,This course is simple easy to understand The instructor is also great There are some points I felt needed more explanation espn in how to apply re framing ,4.5
362,Good exercise ,5
363,Such a great course A great way to learn how to deal with all kinds of stress ,5
364,good ,5
365,Solid content Overall a simple course which was more introductory in nature to progress to additional courses As the course is free I have no complaints ,5
366,awesome excelent !Maravilloso! superb ,5
367,Potentially life changing Very well presented and narrated with relevant examples that drive the point home ,5
368,I would prefer to observe the speaker visually not just audio ,4.5
369,This course is excellent I have gained so much flexibility in dealing with alot of challenges in my life through understanding how my brain works Also doing the exercises was quite effective in seeing the difference reframing makes ,5
370,Definitely good for mind stutters... ,5
371,Very useful and well explained ,5
372,Very informative and helpful The instructor is engaging and the pacing is just right I plan to practice these reframing lessons for the rest of my life thanks ,5
373,Very impressed with the content ,5
374,this is one of the best courses I have taken Annette gives clear information and examples followed by way to apply these ideas I highly recommend her course ,5
375,There was not enough content for me I'm familiar with reframing and nap having read may books over the years this is more of an introductory skit on Cognitive Behavior therapy ,2.5
376,very informative course ,5
377,this is very insightful ,3
378,I've thoroughly enjoyed it so far though it's going quite fast for me but I think I can keep up Really like the layout and the teacher ,4.5
379,It shows how much I can get through learning I want to grow up as a person and apply these concepts to become a mother a wife a daughter ,5
380,fantastic material and I learned a lot Thanks a million ,5
381,great simple way to explain a very hard subject ,5
382,I think it's informative in an easy to learn kind of way ,5
383,Great content useful in day to day activities in the professional and personal arenas A+++ ,5
384,This information was helpful insofar as it gave strategies on how to approach a limbic system already in flight additionally the knowledge that both the hippocampus and the amygdala are both plastic and that there is an inverse relationship between the growth of the two regions allows for targeted development of the hippocampus valuable ,4.5
385,Excellent ,5
386,interesting and useful content ,4
387,Very interesting topic However - my description of this course is data dump Too many words and too much texts and the sections are too long When the woman is reading and I am presented with a lot of text what should I do listen to her or interpret the text The chapters following the amygdala chapter were much better ,4
388,I think there was a lot of theory but not really HOW to ,4
389,I learned a tremendous amount about the amygdala and it is giving me a lot to reflect on Annette brings the concepts and teachings to us in an easy to understand and engaging manner ,5
390,This course delivers the messages that she promised and the messages that I expected clearly My brain feels very satisfied ,5
391,I enjoyed this course ,5
392,It is clear to follow lovely voice The text is easy to follow as well and I like the way you bring attention to an area of text enjoying the information when you know what is happening it is easier to understand what you are doing and why ,4
393,A superb educational and very enjoyable course ,5
394,Really useful information Anette shares her knowledge in a clear and easy to understand way I'm learning so much - much more than I expected Thank you ,4.5
395,Excellent course well explained easy to follow great examples great quality ,5
396,This is excellent - informative and insightful ,5
397,fantastic ,5
398,Well explained lectures and really informative Thanks ,5
399,The graphics annette's using are first rate truly helpful in conveying her message and most importantly for me at my level of understanding the information/content is framed and packaged perfectly All this is creating a responsive integration from me that is giving me just the learning doorways I am looking for ,5
400,I thoroughly enjoyed this comprehensive course I wait with enthusiastic anticipation for ante pen's future courses soon to be offered ,5
401,very useful knowledge to apply in daily basis and diferent aspects of our lives ,3.5
402,Anette uses a beautiful voice to explain and explore a fabulous method to manage difficult situations and emotional response She provides the key to cracking open the door leading to a new refreshing joyful understanding of positive solution-based actions It's all about reframing Thanks so much for this gift ,5
403,It gives me a whole range of new ideas to explore ,4.5
404,excellent Has started me thinking and approaching stress in my life differently ,5
405,I sure got a lot out of this course Silo mentality was new to me I liked the scenario of a bank robbery that would make me value every day of my life This reframing course was great thank you ,5
406,She overwhelms me gives a lot of new information but she gives slow-old me time to catch up and to catch my breath If I didn't have a finger in every pie have lots of projects I'd be writing to her even now Maybe I'll be able to do that two months later And oh - what a beautiful speaking voice ,5
407,Thank you Annette for sharing this course ! This is a great tool for anyone who wants to be a better human being or better professional Great easy tool to change our perception ,5
408,This course is very useful.It helps to know more about neuroscience want to learn more about this ,4
409,Really appreciated the content and the way it was presented Will use this in my life both at work and in my relationships with other people thank you ,4.5
410,I have previously done several online courses with full of fun facts experiments famous personalities... but the take home message is crystal clear in this course with the correct strategies of learning and fun ,5
411,excellent insights with accessible methods for personal use and as a coach with the focus on science ,5
412,I enjoyed the material in this course and I actually learned a lot of new information The reason I'm giving this course a 3 star is that there was too much info packed in each section and the tools were almost an after thought I'd appreciate a more structured approach to using the tools / writing exercises also the sections could be a bit shorter / the voice over more abbreviated The speaker says a lot of information ....maybe consider more visuals more pauses during the lecture and slowing down as you share the stories ,3
413,"wow You absolute start Anette... making a hard science of reframing Magnificent work if I may say With 50 years extensive self-knowledge, and a wide gamut of studies and teachings of personal and spiritual growth under my belt its always struck me how important the stories we tell ourselves about our own experiences are to our quality of life I've become a master at reframing and I love to help others see life circumstances specific events and even their whole life from different viewpoints This is a significant life coping skill that ought to be taught in schools So glad to see a free course here for beginners but tying it in with hard science gives it the weight it needs for such skills to be taught formally The explanations make the concepts very clear and the exercises are ell placed to give course students a direct experience of how easy and effective it is to change one's own viewpoint and thereby change our beliefs feelings and behaviours I've thoroughly enjoyed going through this course and can't wait to start dry pen's Framestorm course ",5
414,This course is loaded with very informative information and delivered in a very effective matter I feel like my time was well spent and I look forward to reading the author's book play your mind ,5
415,After going through slides I should start adopt changes to my life Hope that will help me overcome my psychological problems Overall excellent presentation Thumps up ,5
416,well presented and detailed ,4
417,Down to earth explanation of how neuroscience can be applied to real world situations Thank you anette ,5
418,This was exceptionally easy and practical content to digest ,5
419,good bit slow ,3
420,Great course ,5
421,i like it And has good advice for dealing with the brain and good conduct ,5
422,Great content high quality course never boring ,5
423,Excellent content very useful ,5
424,The information is of immense used Applied to direct experience negative behavioural reactions to events - even misperceived ones - can be witnessed understood worked with and transcended If the entire world began to work with this kind of model we'd fast come to a point of greatly diminished conflict I'm glad that neuroscience and psychology can provide for us this kind of insight and methodology ,5
425,fabulous ,5
426,Very few scientific reference ,2
427,Understandable theory linked to practical used for significant improvement ,5
428,It's actually getting pretty good maybe i judged to quickly ,3.5
429,This is a well crafted class Annette's methods of teaching practicable neuroscience is spot and easy to implement While consistency is definitely required using these step can allow anyone to get to here in the present from here professional presently focusing on negative thoughts Great class... ,5
430,Very revealing Practical methods Good science And skilled teacher Worth 5 stars ,5
431,interesting simple language ,3.5
432,What a gift Simple to understand with real strategies Thank you anette ,5
433,Its a good introduction to the topic More stories such as the one with her daughter make for more powerful memory and recall ,3
434,Insightful and easy to follow ,5
435,It help me alot and would like to attend more of these courses ,5
436,I liked the speed with which Anette moves through the course the quality of the backup information for points being made the colourful illustrations to make learning memorable and her clarity of spoken presentation enjoyable informative and memorable ,5
437,Looking forward to the rest Hoping to learn a lot and build skill in reframing ,4
438,The course is quite useful in business and life Also Annette Prem is a great speaker so it is not boring and fun to listen to Now I really want to try reframing myself ,4
439,I loved the course It is something every can used ,5
440,Very clear with good examples ,4.5
441,Very slowly paced expected more valuable content in the time to complete the course ,2.5
442,Clear useful information and inspires hope that transformation is possible ,5
443,Good course on neuroscience no fluff ,5
444,awesome content ,5
445,Im happy so far jusr eager to get into more practices ,4
446,excellent This one deserves to be watched again ... and work to apply the things she's taught Thanks for bringing these ideas out in a way that non-scientists can understand and used ,5
447,offers good insight thus far ,4
448,Excellent presentation and I will refer to this over and over again ,5
449,Great course ,5
450,its great ,4
451,I find Annette's approach * highly informative & entertaining * easy to assimilate * extremely user-friendly * well-thought out and clearly defined in terms of learning outcomes ,5
452,The instructor shares valuable information that allowed me to understand why I sometimes react the way I do and how I can think in new ways The lessons were clear and well presented ,5
453,good ,5
454,not sure yet ,3.5
455,it was ok ,3.5
456,very informative and interesting ,5
457,So far so great I'm just getting into neuroscience so this is all rather new but very interesting thanks ,4
458,Topics and narrative is great ,4.5
459,"Every little step you take to improve your self-worth, is a big step for your personal growth Great start to my journey thank you ",5
460,This course was simply amazing I have just finished my coaching diploma and almost finished my nap Practitioner's course and this has given me even more tools to use during my sessions and with myself as well I could not recommend this course more and what a great gift to all of us Thank you from the bottom of my heart ,5
461,Practical exercises helped me practice reframing ,4.5
462,i am enjoying what I am learning about my brain's actual system functions ,5
463,I like the overview of what the course will be about ,5
464,This really helps you re frame your negatives into positives Good course ,5
465,The course is great simple There is some Area where I'd have liked more exercises and not just be told to buy the next course I still recommend the course as it is very interesting ,3
466,The course material moves a little slowly but the information is very clear and concise well put together and enjoyable ,4.5
467,Itisaverygoodcoursesofar. ,4.5
468,This course was fascinating ,5
469,Really enjoyable course on the subject of reframing It provides the basics of a practical guide on the benefits and methods of changing your perspective when dealing with various life situations and problems Very engaging is preen clearly walks you through many day to day examples you would meet in work and home scenarios and how reframing can make a huge impact on dealing with those Minor note A edf summary would have made it perfect quick reference to keep that will remind you the course subjects and advice I found it very helpful Thanks anette ,4.5
470,Nice tone of voice easy to follow content at just the right pace ,5
471,Great course Makes complex concepts understandable and it is practical info ,5
472,Anette preen was very engaging from the start - her delivery is clear and the info graphics are not overloaded with lots of words This is a great introduction to neuroscience and it's everyday application to real life and how we ourselves can change our thought processes to lead more effective lives As a psychotherapist it give me greater insight into how clients can be hijacked by their emotional memories and how this can be overcome with some directed reframing The tools that are discussed in this series of wonderfully short and informative lectures are a goldmine that can be used and adapted to fit any client of any age I would highly recommend this course as it is accessible and thought provoking - if you think it is beyond you think again and give it a go you will be surprised at how easy Anette preen makes this very complex subject And add to that that it is free and at the end Anette generously gives you even more free gifts ,5
473,This is excellent succinct poignant and usable As a father husband teacher and whichever relationship a learner cares to identify - usable Thank you is Prehn...!! ,4
474,Good Logic and flow of ideas Fine examples and simple lessons easy to grasp teaching She made a good delivery of a complex subject and speaks in terms for the average person to understand Great Job ! Superb ! ,5
475,Clean and clear ,3
476,great course ! very interesting and detailed ,4.5
477,This is an absolutely brilliant I can't wait for next level advanced course I recommend this to everybody who wants/needs creative problem solving skills ,5
478,Lots of new information I liked the easy explanation of the topic I heard about concept of small steps many time but in this course it made a great impact and I want to start using it right away ,4.5
479,knowledgeable passionate informative ,3.5
480,I loved the course and found it insightful Learning about the amygdala and how it responds to know's and associations is valuable knowledge and aids in understanding the actions and reactions of many in our world Mostly it assisted me in understanding responses to external stimulus ,5
481,Love love love ,5
482,Truly amazing and I benefited immensely ,5
483,This is helpful knowledge in overcoming some roadblocks when dealing with social engagement Opening up and seeing things differently can unblock some of these perceptions we carry ,5
484,A great course It requires your full attention reframing I think is about being conscious in your interactions deciding what to give your attention to requires discipline This is about self awareness great course ,5
485,because ,4.5
486,its ok to know about amygdala ,3
487,Great amount of important and fascinating information Very useful Lectures are bit long thought and often monotonous I think spicing it up making it clear short and fun would go a long way ,4
488,it's good ,3.5
489,Beautifully explained ,5
490,nice ,5
491,This is an excellent piece of material on the practical uses of neuroscience I'll be on the lookout for some of the author's courses ,5
492,Learned a lot new concepts and ways of looking at different perspective that actually helps me grow Thanks very much finished only 10% content but looking forward to learning the rest ,5
493,Its a great course and has practical suggestions to improvise your thinking and find solutions ,4
494,I am very interested in this work as I coach both actors and non actors and have been implementing the process with them - unknowingly It is wonderful to understand something I have been doing instinctively Anette is a good instructor She speaks well and slowly so that there is time for the information to process as she speaks Great course ,5
495,The tools recommended are very practical & actionable ,5
496,I appreciate the extreme clarity in the teaching of the information of the course I love the calmness it's presented with and the way the information can be easily absorbed ,5
497,Very enlightening ,4
498,I love how eloquently and easily she mixed science research and theory about the amygdala and to optimize the hippocampus through proven and natural techniques ,5
499,A very good course that has enriched my knowledge ,5
500,Excellent ,4
501,Interesting & exciting science this course is motivating me to dig into the subject deeper & share what I've learned with others ,4
502,excellent ,5
503,Annette makes the course very relevant and digestible Well delivered and not just theoretical Pragmatic and something I can immediately apply I was seeking something just like it ,5
504,Fine lectures anette I've implemented the business of setting the smallest of goals I've told friends of it Thank you ,4
505,A real eye=opener for me Thank you I'll practice it ,4.5
506,Great course provided great insight into other ways of looking at situations\people. ,4.5
507,A very clear presentation on a fascinating subject ,5
508,Easy to understand concepts Applied Neuroscience that can be used in daily life for personal growth Great course and it's free i ,5
509,Excellent explanation of topic Highly recommended for anyone who wishes to see the benefit of gaining new perspectives of thier situation ,5
510,"This is a really interesting course and one I am very glad I took There are various techniques covered for reframing non of which I had heard of before and non of which gave me the instant urge to say yeah but what if..."" If I had one suggestion for improvement it would be to include the presenter anette in the videos and use picture in picture for the information slides this really is a minor thing but something I feel would lend itself well Thanks for a great course with interesting and well presented material ",4.5
511,I believe the information in this course is fantastic I believe if a person applies the techniques given in this course consistently until they become a habit they will become a more effective human being This course teaches techniques that show you how to get in rapport with your brain so that you get results with less effort This course is worth watching and worth implementing until it becomes a habit I am VERY happy I found this course... ,5
512,We enjoyed using this course in our homeschool curriculum It was easy to follow with great examples and visuals We learned many helpful tools for reframing This course met it's description extremely well We look forward to more from this wonderful instructor :-) ,5
513,Information that will genuinely help with all social and personal interactions from the cubical Jungle to the jungle gym playground Why do you react a certain way Well maybe you're just human and now you've been given the Human Handbook to guide you Anette preen makes a complicated and technical science understandable to a wide range of people ,5
514,Would love a quiz or some tool to reinforce the knowledge transferred Thank you ,3.5
515,Many insightful thoughts and observations for everyday life I highly recommend for everyone ,4.5
516,It's incredibly interesting and gives a small but in-depth look into the amygdala and why reframing your mindset is so important overall it's seems to be a very useful and interesting course ,5
517,Still liking it but wish the duration of the videos was a bit shorter ,5
518,Thanks Anette for your high value course ,5
519,Very good and concise information The author is obviously well versed in the topic ,4.5
520,Well worth my time ,4.5
521,The teacher seems sweet and gets right to the point with each topic Her slideshow mimic this and are very simple ,4
522,logical reasonable and completely accessible ,5
523,This is a really good course for anyone You do a really good job explaining all the aspects of diving into reframing which is something everyone at any level should try to do Society is very good at finger pointing or passing the buck so to say which is the easiest thing to do - but one of the hardest things to do is taking that finger and repainting it back at themselves I will definitely look into more of your material and if able take the other non-free courses as well All the best to your continued work and to hopefully more people getting to look through the correct lenses ,5
524,very interesting ,4.5
525,step by step i very clear and easy to understand ! ,4
526,This course is very well constructed to help you understand everything with ease Thank you ,5
527,This course is amazing When I first enrolled I was skeptical if it could provide me the information the title promises I was not disappointed Anette presents solid information that can easily be fact checked The course gave me insight into my priorities and confidence to stick to my plans After being depressed for 2 years I slowly started clawing my way out This course solidified my eagerness to get better through random facts like rumination being the cause of depression in 60% of sufferers It may seem random but made me think they I do that quite often This is just one of the things that changed my perspective slightly and gave me the motivation to get to know more and more about the brain and myself Anyone interested in self-development or just knowing something interesting should definitely take a look ,5
528,Definitely food for thought Both interesting and useful information within this course ,4.5
529,Very interesting and well presented ,5
530,Resourceful!!!! You have done an excellent job Your course change my life ,5
531,There is a lot of content here that has been well simplified Even if you are familiar with reframing as I was you will get a new understanding of it And reframing is not a concept for specialist but for everyone The 5 tools presented here are easy to implement and powerful So use them Plus it's free ,5
532,I just couldn't focus myself to stay connected with the presenter I am sure there is a lot of useful information in here but just not for me ,2
533,Good info...good actions steps I recommend the course ,5
534,Excellent course I found this course to be extremely helpful and a perspective changer in my personal life and in how I view and deal with occurrences Easy to understand concepts and simple methods of implementation I really enjoyed it Thank you anette ,5
535,This course is excellent and very informative After completing the course I order some of the books mentioned and will look to complete the next course I have recently completed a must and advanced cut diploma and I found the various insights illuminating ,5
536,Interesting talk about how a part of your brain works Provides some methods to take that can help develop a better way to look at things ,4
537,I rate annette's work very highly ,5
538,Self awareness is vital in everyday life and Annette is a wonderful teacher who illustrates the theory with great examples Thank you ,5
539,Well presented lecture ,5
540,fantastic ,5
541,In the given Window of time the content was well organized and presented It can be a whole weekend program by itself but his is fine ,4
542,I have never heard about the main subject of this course despite the fact that it is really importantthan was surprising and nice.Thank you for the course ,5
543,Good information for the starter to learn the stuff ,4
544,Good introduction worth doing Video presentation rather than audio and slides might improve appeal ,4
545,Thanks for the wonderful course ,5
546,One of the best courses on Udemy. The techniques I learnt in the course has already made a profound impact on my thought process It helps you to deriving more joy and happiness out of life Instructor voice is very clear and pace of the course is perfect I have sawed all my worries and tensions after practicing the techniques taught in this course The best thing about the course is that it is for all age groups ,5
547,thank you ! lots of information everybody can learn from ,5
548,bien merci ,5
549,Instructive ,4
550,Great course showing reference to neuroscience and reframing and how to do it ,5
551,"This course is a gift beyond measure It is stimulating empowering and delightfully presented by Anette preen who offers an opportunity not to be missed I look forward to reading her book , play Your brain and taking her course on reframing but more importantly I look forward to applying the methods and strategies she has so generously and expertly drawn to my attention ",5
552,This is a great course Enjoy the tools and use them to help with your life path ,5
553,After Lecture i I signed up for annette's Framestorming course After Lecture i I purchased her Play Your Brain book Your mileage may vary Your choice is now yours to make ,5
554,I found this course an informative useful and eye opener I really enjoyed this interesting well organized and well delivered course Thanks Anette!!! ,5
555,thanks good work ,4
556,Some material to download will be nice ,3
557,I believe you can filter and refocus your thoughts although I am not very good at it As with most habits its not easy to retrain your brain of negative thinking - I think reframing may be the way forward ,4
558,Anette preen is a delight to listen to and her message is one of vital importance to all of us - if functioning as a coherent human being is considered important There's a whole lot to learn about how we think and respond the way we do and how some of those responses are based on faulty assumptions The reframing tools are a powerful easily learned way to regain a state of peace within Thank you anette ,5
559,An excellent course covering how we can use reframing techniques in our own lives ,5
560,From theoretical point of view and advertisements at the end are helpful for next step ,4
561,yes yes yes very powerful course thank you my Anette preen thank you enemy ,5
562,Well structured and interesting content ,5
563,The videos re short and very clear The instructor has the knowledge and the skills to explain the material in a very simple way I enjoyed this course a lot and also learned about some basic but powerful reframing tools Thank you ,5
564,Very good course and highly recommended ,5
565,Thanks to Anette preen for this free learning course Fascinating information clearly presented Highly recommended ,5
566,lovely clear and concise... easy to understand and with some easy to apply exercises... thank you i ,5
567,The content is very comprehensive and informative Thank you ,5
568,I am so thankful I found this course and anette I'm an entrepreneur who has been scrambling to make the right decisions She identified my personality in the timeline lecture and created the 'ah-ha' moment for me I really looking forward to taking her Framestorm course ,5
569,Great insight love the reflective assignments useful for day-to-day life clear presentation good production ,4
570,This is a very good basic course on understand how we perceive any given situation and that everyone perceives differently even while experiencing the same situation ,4
571,Enjoyed the course ,5
572,Good pace clearly presented right mix of explanation and questions ,5
573,I found the course engaging well organized and easy to understand The content was stimulating and even inspiring and I enjoy trying to explain the principles to others ,5
574,I learnt some interesting information that has helped me understand this important subject about humans ,4
575,Poco motivate ,3
576,Complete course is terrific I really enjoy teaching style The material is presented in an engaging way Now I want to check out all of your other courses I will definitely recommend to others ,5
577,Course is Good simple explanation and not complicated to be whoever you want to be...be healthy positive social and smart preen does a good job in keeping the material on focus and provides resources for future study ,5
578,One of the coolest lessons no hassles and brief enough to grasp I always loved psychology and this was a new way to look at the brain Clear and easy to understand ,5
579,This course is a must for people who want look insights and I am so thankful for instructor and her insights that have helped me have more insight into why my brain works the way it does and helps me become more productive in helping others through different methodologies ,5
580,Well presented and Well prepared easy to understand instructor does a good job in keeping the material on focus and provides resources for study It will help all with life's struggles ,5
581,A free course having amazing content so I am sure the paid content would be even better Overall great and clear course without complications ,5
582,I am so thankful for Anette and her insights that have helped me have more insight into why my brain works the way it does and helps me become more productive in helping others through different methodologies Thank you anette I hope to take you Framestorm class ,5
583,Nicely presentation of the course by A Brain based-Leadership instructor(Mrs. anette in the formation of 4 layers of learning method which is awesome and it will definitely help me to deal with the difficulties of new relations Thanks ,5
584,I felt the training video was good Instructor does a great job of keeping your attention I am not expecting such a wonderful and layer by layer presentation by a instructor they prepared me nicely ,5
585,The slides presentation contains Step-by-step instructions All clearly laid out and well organized which is easy to follow ,5
586,The instructor Anette gives a comprehensive overview with all aspects in a short time Learning skills as public speaking takes time Missing the proof reading section of the course . Having problem storage file keeping and usage of many applications offered Or else course is complete ,5
587,Thank you annette for such interesting and motivating material Course provides some useful technics for everyday use that can tremendously improve your life and make you feel better ,5
588,Great course Enlightening subject matter with good examples Instructor speaks very good English and is easy to understand She is upbeat and gives real-world advice with her content ,5
589,Gave me a new and enlightening way to look at relationships Really enjoyed it The tools of reframing are helping me to relate better with my very headstrong daughter ,5
590,Very interesting and well put together course Anette breaks the power of reframing to a to Your explanation of the Levels or Learning was great and informative thanks for sharing ,5
591,its so efficient ,5
592,The material is well presented and easy to understand Anette preen does a good job in keeping the material on focus and provides resources for future study I will keep in mind the lessons here as I pursue goals and help cope with life's struggles ,5
593,Liked the course ,5
594,I really enjoyed this course very interesting instructor was very passionate ,5
595,It helped me alot.cheers ,4
596,Great course with lot of practical tools Thank you so much ,5
597,What an excellent idea and most helpful course Superbly presented by Anette and very thought provoking ,5
598,Thanks for this course Annette it is helpful for me ,5
599,Thank you so much for this course it made in impact on the way I view situations I can honestly say I will see the world through different eyes now or should I say frames now thanks : ) Louis ,5
